size,heapSort,quickSort,mergeSort,shellSort,countSort,radixSort,bucketSort,selectSort,bubbleSort,insertSort
10,2.09808349609375e-05,1.0967254638671875e-05,1.5974044799804688e-05,7.867813110351562e-06,0.01311492919921875,4.172325134277344e-05,1.811981201171875e-05,7.867813110351562e-06,1.1205673217773438e-05,5.245208740234375e-06
20,6.556510925292969e-05,2.1219253540039062e-05,3.147125244140625e-05,1.9073486328125e-05,0.013881444931030273,7.43865966796875e-05,3.123283386230469e-05,2.09808349609375e-05,4.506111145019531e-05,1.811981201171875e-05
30,7.581710815429688e-05,3.123283386230469e-05,5.173683166503906e-05,3.218650817871094e-05,0.015556812286376953,0.0001010894775390625,5.459785461425781e-05,5.173683166503906e-05,9.489059448242188e-05,3.838539123535156e-05
40,8.678436279296875e-05,4.267692565917969e-05,6.937980651855469e-05,4.1484832763671875e-05,0.014964103698730469,0.00018477439880371094,7.62939453125e-05,0.00013208389282226562,0.00023317337036132812,6.127357482910156e-05
50,0.0001220703125,5.8650970458984375e-05,9.417533874511719e-05,6.29425048828125e-05,0.0157778263092041,0.00014328956604003906,8.606910705566406e-05,0.00010204315185546875,0.0002906322479248047,7.987022399902344e-05
60,0.0001704692840576172,6.604194641113281e-05,0.0001068115234375,6.198883056640625e-05,0.015260457992553711,0.0001442432403564453,7.700920104980469e-05,0.00013256072998046875,0.00034737586975097656,0.00011491775512695312
70,0.00017333030700683594,8.630752563476562e-05,0.000125885009765625,8.320808410644531e-05,0.015502691268920898,0.0001652240753173828,8.606910705566406e-05,0.00017118453979492188,0.00044155120849609375,0.00013327598571777344
80,0.0002040863037109375,9.560585021972656e-05,0.00014591217041015625,9.369850158691406e-05,0.015172004699707031,0.0001671314239501953,0.00012493133544921875,0.00020647048950195312,0.0005555152893066406,0.00018334388732910156
90,0.00025963783264160156,9.989738464355469e-05,0.00021910667419433594,0.00010800361633300781,0.014879226684570312,0.000179290771484375,0.00010251998901367188,0.00025653839111328125,0.0007393360137939453,0.00026106834411621094
